"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4444444444444","31.1111111111111","32.2222222222222","34.4444444444444","45.5555555555556","46.6666666666667","52.2222222222222","51.1111111111111","50","53.3333333333333","54.4444444444444","51.1111","51.1111","51.1111",
"Angola","AGO","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1111111111111","45.5555555555556","45.5555555555556","42.2222222222222","42.2222222222222","45.5555555555556","45.5555555555556","47.7777777777778","50","47.7777777777778","48.8888888888889","47.7777666666667","42.2221666666667","45.5555",
"Albania","ALB","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6666666666667","77.7777777777778","81.1111111111111","80","76.6666666666667","77.7777777777778","70","70","73.3333333333333","68.8888888888889","75.5555555555556","72.2222333333333","82.2222333333333","88.8889",
"Andorra","AND","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2222222222222","88.8888888888889","88.8888888888889","85.5555555555555","86.6666666666667","87.7777777777778","86.6666666666667","85.5555555555555","85.5555555555555","76.6666666666667","83.3333333333333","95.5555666666667","88.8889","85.5555666666667",
"Armenia","ARM","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.7777777777778","84.4444444444444","86.6666666666667","90","92.2222222222222","93.3333333333333","92.2222222222222","92.2222222222222","86.6666666666667","88.8888888888889","87.7777777777778","93.3333333333333","92.2222333333333","91.1111",
"American Samoa","ASM","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6666666666667","36.6666666666667","36.6666666666667","46.6666666666667","44.4444444444444","42.2222222222222","46.6666666666667","51.1111111111111","55.5555555555556","58.8888888888889","57.7778","57.7778","54.4444666666667",
"Australia","AUS","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6666666666667","78.8888888888889","78.8888888888889","78.8888888888889","78.8888888888889","78.8888888888889","78.8888888888889","76.6666666666667","74.4444444444444","74.4444444444444","70","67.7778","75.5555666666667","82.2222333333333",
"Burundi","BDI","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.3333333333333","45.5555555555556","44.4444444444444","48.8888888888889","48.8888888888889","61.1111111111111","54.4444444444444","54.4444444444444","52.2222222222222","57.7777777777778","54.4444444444444","55.5555666666667","62.2222333333333","63.3333666666667",
"Belgium","BEL","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3333333333333","56.6666666666667","54.4444444444444","57.7777777777778","56.6666666666667","56.6666666666667","55.5555555555556","58.8888888888889","57.7777777777778","66.6666666666667","65.5555555555556","66.6666666666667","73.3333666666667","73.3333666666667",
"Burkina Faso","BFA","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.7777777777778","66.6666666666667","66.6666666666667","64.4444444444444","63.3333333333333","60","62.2222222222222","65.5555555555556","71.1111111111111","70","71.1111111111111","67.7778","74.4444666666667","73.3333666666667",
