"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.93497947510949","-3.08910979344633","4.07393038630515","7.47549381985924","-1.01921152192513","9.14274114007718","4.76622079417474","0.616713218243817","-3.15053479556273","8.95772483812387","4.21369628776971","1.4908946307052","12.4624890218238","14.2757064472561","-5.13205559312389","","","","","","","","",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.715672373963","11.2427294014823","10.9002679905063","7.17126073468188","22.3820157780035","2.17910328500052","-2.10708255443797","9.43779477259656","10.5611392868639","8.3047608561584","3.87790597489189","0.595758449539503","2.43201733027227","5.12337489858696","",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.72373541607564","-7.32159407173866","-5.30303028572969","49.4023904100798","0.300902726926068","169.905533034691","249.08700322891","1273.9912143769","2127.60986320439","1895.32408866612","5399.50685203614","94.3195709836863","35.3168252033454","556.939256858936","418.23295387368","106.322492424523","196.576793103168","84.8866230379751","39.7927671283854","26.8164318956669","13.041077495398","12.6164771813004","19.6815623483743","-7.41879877861696","22.3939121412599","24.16714105513","7.07021867455535","2.50473045055281","-1.36971289017515","-4.01764771604705","27.4213146423163","",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-2.17736049732481","-0.0176942873755763","-0.0167472910031705","-0.0283540470374533","0.351197543317625","-2.37800111637166","2.86239856421844E-05","1.35398767042716E-06","-1.86766555998474E-06","-0.468707383931516","38.5683421097228","249.683437476235","114.835647630375","38.4164948240386","5.57330745505421","41.2755945091297","12.0887058933047","8.43236782174847","1.53333079063749","3.98128804504077","3.3288510823045","2.41058971943463","5.37972441357506","2.35708417556508","2.62101764113491","2.69604924907409","3.57619480955245","7.63032471244446","2.42004747843565","4.48992320031962","2.31004058878472","1.03999295110991","0.289973759733257","1.54999762148857","0.100031223843587","-0.211713212393235","",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","7.84587099216796","8.51807771267011","11.8494338564742","15.94520129743","16.7817954081357","16.4898572117254","23.3830925590869","20.631041405079","16.931689072909","13.3548138463662","12.3511732158075","13.5823498290084","11.8842352505511","10.8647343709055","8.59546376147419","10.8788152564796","5.94419881012041","5.93612498877994","6.89620714766018","7.32624365429172","6.93514904139276","6.7107711637175","4.53723174638985","3.87985279924578","4.93312352666111","0.797176302646577","2.22816016825726","1.49955688927319","2.73197763564346","29.2262783030586","2.76951809893593","3.40040785278457","2.87986344921434","3.35036855287724","3.09959688839577","3.20049242714123","3.86981071081807","1.9800730558791","-1.37827172324023E-05","1.59994278580142","2.49986769633944","1.09991362054735","0.000360615916989104","-0.100367069065967","-0.455465514725034","0.691296546253753","",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","1.30379017462108","2.60224085694838","6.88471890461128","2.4960807617277","11.5552808425358","26.9226785018749","5.59914413199593","7.52452758433749","9.72401199955937","7.44107163495314","15.0505675984276","20.0283482593105","11.582296265148","6.42062441834526","6.88749696134816","6.59117809192747","4.4784201966029","4.88397439560625","9.36808989062381","5.03381212890426","8.57777433835211","14.1214041677337","7.61051704037217","5.11898581538506","4.54566553079251","7.89003045141593","6.68404131896827","7.10766747377123","3.9306161672273","0.391321279452626","5.81165476807901","9.77706127534114","0.780561216470318","4.1706606232915","5.11161321735516","10.9910767238727","11.9664316104799","9.37678671296783","6.66943396846374","14.802531975188","-4.36578079392847","10.6374037585937","14.6723830039607","4.50064380196444","1.3309501503249","0.377809577308867","2.11468545681666","0.60895703948507","",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","11.7743313549633","5.25575609125819","-3.66111149544007","7.05102054449355","9.51597603475069","7.05448398235431","1.31286872877226","-3.61801721852341","-6.09746718633876","0.74053288990028","-1.69848529741977","3.68558480261672","2.38104573165367","1.75127660936019","3.33590049399268","0.810848724715441","1.80682611993994","1.27803630532681","-0.262474922298338","3.90747975417074","5.77304390654221","-0.952300705805683","-4.25444532085106","8.44337745491752","11.4595357967841","-2.34930767171669","3.770839548802","4.07240679607601","8.50142205935694","16.5260168799618","11.962427974019","12.5339606710296","18.5333530817247","-15.1829798840046","12.4901759424146","13.8153754520385","1.62594684714026","-1.5364420325497","-0.0136029824496831","-14.4962321384988","-5.44303900929599","",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","20.3106975252928","28.871841651733","25.5911543481732","28.7746173195633","21.2329349235212","25.6034624263967","29.0182629356081","10.2753105574405","7.79583003660558","6.46787463937974","31.2710638825753","64.2447859181755","65.5352873661713","30.6304413715772","197.697364540376","438.322779724218","159.427177705708","161.372172005774","147.377044038694","90.8408016189506","106.364099000329","207.617681377163","382.34943487912","606.73594119409","625.802140256708","74.461493403417","127.086376418998","388.491338916035","3057.62883602967","2076.79347310303","132.953228163938","11.920760221355","-1.46665994200747","2.84933971509302","3.16512339016519","-0.0523754965904146","-0.46391313116429","-1.70527962400088","-1.83655839220663","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","24.545356530691","40.6753096494524","",
"Armenia","ARM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3861043009329","568.807295416597","1391.16654316068","4107.29677003773","161.163917586658","19.5917703008568","17.7359944987061","10.6984977557453","0.0538040776641111","-1.37367599407116","4.06913993199953","2.36978781530641","4.561098399481","6.30953272110588","3.23983624916488","4.61985766605841","4.23277038228159","5.98956235944519","2.55693505380631","7.76871548180418","4.28154999831665","5.34580441586994","3.36682464044367","2.30918242954299","1.21390990161147","0.517324491665633","",
"American Samoa","ASM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70122177940937","-3.36653381394014","-1.36167464717741","2.89566946149189","2.81980742778545","11.1747609734898","25.7548845470693","-15.4185022026432","-0.639031234748671","17.3495685952265","2.35560228884435","-0.626945514638095","1.22499742395885","2.53404659918175","",
